Primary Diagnosis Code,Primary Diagnosis Code Description,all_attendances,first_appointment,first_tele,subsequent_appointment,subsequent_tele,unknown_attendance_type,total_tele,total_in_person,tele_adoption_rate,followup_ratio,unknown_rate,priority_score
C673,Malignant neoplasm: Posterior wall of bladder,400.0,21.0,2.0,328.0,49.0,0,51.0,349.0,0.1275,16.4,0.0,0.0
C674,Malignant neoplasm: Bladder neck,137.0,9.0,1.0,124.0,3.0,0,4.0,133.0,0.029197080291970802,12.7,0.0,0.0
C675,Malignant neoplasm: Ureteric orifice,52.0,9.0,4.0,28.0,11.0,0,15.0,37.0,0.28846153846153844,3.0,0.0,0.0
C676,Malignant neoplasm: Urachus,25.0,9.0,1.0,11.0,4.0,0,5.0,20.0,0.2,1.5,0.0,0.0
C677,Malignant neoplasm: Overlapping lesion of bladder,28.0,7.0,0.0,19.0,2.0,0,2.0,26.0,0.07142857142857142,3.0,0.0,0.0
C678,"Malignant neoplasm: Bladder, unspecified",34332.0,3643.0,228.0,26175.0,4286.0,0,4514.0,29818.0,0.13148083420715367,7.9,0.0,0.19474972796517953
C679,Malignant neoplasm: Urethra,112.0,16.0,1.0,83.0,12.0,0,13.0,99.0,0.11607142857142858,5.6,0.0,0.0
C680,Malignant neoplasm: Overlapping lesion of urinary organs,54.0,2.0,0.0,48.0,4.0,0,4.0,50.0,0.07407407407407407,26.0,0.0,0.0
C688,"Malignant neoplasm: Urinary organ, unspecified",1039.0,166.0,10.0,585.0,278.0,0,288.0,751.0,0.27718960538979787,4.9,0.0,0.5511153427638738
C689,Malignant neoplasm: Conjunctiva,251.0,20.0,0.0,137.0,94.0,0,94.0,157.0,0.3745019920318725,11.6,0.0,0.0
C690,Malignant neoplasm: Cornea,3.0,0.0,0.0,3.0,0.0,0,0.0,3.0,0.0,0.0,0.0,0.0
C691,Malignant neoplasm: Retina,739.0,92.0,43.0,550.0,54.0,0,97.0,642.0,0.13125845737483086,4.5,0.0,0.5275299238302503
C692,Malignant neoplasm: Choroid,4989.0,207.0,252.0,3354.0,1176.0,0,1428.0,3561.0,0.2862297053517739,9.9,0.0,0.3420565832426551
C693,Malignant neoplasm: Ciliary body,1001.0,87.0,47.0,731.0,136.0,0,183.0,818.0,0.18281718281718282,6.5,0.0,0.4852285092491839
C694,Malignant neoplasm: Lacrimal gland and duct,241.0,21.0,0.0,207.0,13.0,0,13.0,228.0,0.05394190871369295,10.5,0.0,0.0
C695,Malignant neoplasm: Orbit,598.0,139.0,1.0,438.0,20.0,0,21.0,577.0,0.03511705685618729,3.3,0.0,0.49630032644178457
C696,"Malignant neoplasm: Eye, unspecified",152.0,39.0,3.0,89.0,21.0,0,24.0,128.0,0.15789473684210525,2.6,0.0,0.0
C699,Malignant neoplasm: Cerebral meninges,239.0,6.0,1.0,183.0,49.0,0,50.0,189.0,0.20920502092050208,33.1,0.0,0.0
C700,"Malignant neoplasm: Meninges, unspecified",70.0,3.0,0.0,66.0,1.0,0,1.0,69.0,0.014285714285714285,22.3,0.0,0.0
C709,"Malignant neoplasm: Cerebrum, except lobes and ventricles",4762.0,212.0,4.0,4081.0,465.0,0,469.0,4293.0,0.09848803023939522,21.0,0.0,0.19727965179542983
C710,Malignant neoplasm: Frontal lobe,3767.0,82.0,14.0,2935.0,736.0,0,750.0,3017.0,0.19909742500663657,38.2,0.0,0.2782644178454843
C711,Malignant neoplasm: Temporal lobe,2858.0,62.0,11.0,2192.0,593.0,0,604.0,2254.0,0.21133659902029392,38.2,0.0,0.3056855277475517
C712,Malignant neoplasm: Parietal lobe,1627.0,32.0,6.0,1287.0,302.0,0,308.0,1319.0,0.18930547019053473,41.8,0.0,0.35734494015233953
C713,Malignant neoplasm: Occipital lobe,156.0,5.0,2.0,118.0,31.0,0,33.0,123.0,0.21153846153846154,21.3,0.0,0.0
C714,Malignant neoplasm: Cerebral ventricle,70.0,4.0,1.0,56.0,9.0,0,10.0,60.0,0.14285714285714285,13.0,0.0,0.0
C715,Malignant neoplasm: Cerebellum,1378.0,220.0,25.0,894.0,239.0,0,264.0,1114.0,0.19158200290275762,4.6,0.0,0.4693960826985854
C716,Malignant neoplasm: Brain stem,322.0,35.0,3.0,209.0,74.0,1,77.0,244.0,0.2391304347826087,7.4,0.003105590062111801,0.0
C717,Malignant neoplasm: Overlapping lesion of brain,236.0,1.0,0.0,234.0,1.0,0,1.0,235.0,0.00423728813559322,235.0,0.0,0.0
C718,"Malignant neoplasm: Brain, unspecified",15176.0,1989.0,467.0,9142.0,3578.0,0,4045.0,11131.0,0.2665392725355825,5.2,0.0,0.3117519042437432
C719,Malignant neoplasm: Spinal cord,332.0,39.0,5.0,190.0,98.0,0,103.0,229.0,0.3102409638554217,6.5,0.0,0.0
C720,Malignant neoplasm: Cauda equina,2.0,2.0,0.0,0.0,0.0,0,0.0,2.0,0.0,0.0,0.0,0.0
C721,Malignant neoplasm: Olfactory nerve,3.0,0.0,0.0,2.0,1.0,0,1.0,2.0,0.3333333333333333,0.0,0.0,0.0
C722,Malignant neoplasm: Optic nerve,791.0,80.0,6.0,644.0,61.0,0,67.0,724.0,0.08470290771175727,8.2,0.0,0.43849292709466814
C723,Malignant neoplasm: Acoustic nerve,13.0,0.0,0.0,13.0,0.0,0,0.0,13.0,0.0,0.0,0.0,0.0
C724,Malignant neoplasm: Overlapping lesion of brain and other parts of central nervous system,9.0,0.0,0.0,8.0,1.0,0,1.0,8.0,0.1111111111111111,0.0,0.0,0.0
C728,"Malignant neoplasm: Central nervous system, unspecified",220.0,37.0,7.0,108.0,68.0,0,75.0,145.0,0.3409090909090909,4.0,0.0,0.0
C729,Malignant neoplasm of thyroid gland,9252.0,1385.0,87.0,4967.0,2813.0,0,2900.0,6352.0,0.31344574146130566,5.3,0.0,0.35519586507072903
C73X,Malignant neoplasm: Cortex of adrenal gland,495.0,48.0,8.0,342.0,97.0,0,105.0,390.0,0.21212121212121213,7.8,0.0,0.6061479869423286
C740,Malignant neoplasm: Medulla of adrenal gland,147.0,9.0,2.0,94.0,42.0,0,44.0,103.0,0.29931972789115646,12.4,0.0,0.0
C741,"Malignant neoplasm: Adrenal gland, unspecified",1750.0,233.0,11.0,1328.0,178.0,0,189.0,1561.0,0.108,6.2,0.0,0.35680087051142545
C749,Malignant neoplasm: Parathyroid gland,60.0,6.0,1.0,33.0,20.0,0,21.0,39.0,0.35,7.6,0.0,0.0
C750,Malignant neoplasm: Pituitary gland,56.0,13.0,0.0,40.0,3.0,0,3.0,53.0,0.05357142857142857,3.3,0.0,0.0
C751,Malignant neoplasm: Pineal gland,135.0,21.0,0.0,72.0,42.0,0,42.0,93.0,0.3111111111111111,5.4,0.0,0.0
C753,Malignant neoplasm: Carotid body,7.0,0.0,0.0,3.0,4.0,0,4.0,3.0,0.5714285714285714,0.0,0.0,0.0
C754,Malignant neoplasm: Aortic body and other paraganglia,32.0,7.0,1.0,4.0,20.0,0,21.0,11.0,0.65625,3.0,0.0,0.0
C755,"Malignant neoplasm: Endocrine gland, unspecified",78.0,11.0,0.0,63.0,4.0,0,4.0,74.0,0.05128205128205128,6.1,0.0,0.0
C759,"Malignant neoplasm of other and ill-defined sites: Head, face and neck",1545.0,202.0,30.0,1115.0,198.0,0,228.0,1317.0,0.14757281553398058,5.7,0.0,0.40894994559303594
C760,Malignant neoplasm of other and ill-defined sites: Thorax,78.0,9.0,0.0,51.0,18.0,0,18.0,60.0,0.23076923076923078,7.7,0.0,0.0
C761,Malignant neoplasm of other and ill-defined sites: Abdomen,37.0,7.0,3.0,20.0,7.0,0,10.0,27.0,0.2702702702702703,2.7,0.0,0.0
C762,Malignant neoplasm of other and ill-defined sites: Pelvis,118.0,17.0,4.0,72.0,25.0,0,29.0,89.0,0.2457627118644068,4.6,0.0,0.0
C763,Malignant neoplasm of other and ill-defined sites: Upper limb,1.0,0.0,0.0,1.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0
C764,Malignant neoplasm of other and ill-defined sites: Other ill-defined sites,31.0,5.0,0.0,24.0,2.0,0,2.0,29.0,0.06451612903225806,5.2,0.0,0.0
C767,Malignant neoplasm of other and ill-defined sites: Overlapping lesion of other and ill-defined sites,2.0,0.0,0.0,2.0,0.0,0,0.0,2.0,0.0,0.0,0.0,0.0
C768,"Secondary and unspecified malignant neoplasm: Lymph nodes of head, face and neck",909.0,62.0,4.0,830.0,13.0,0,17.0,892.0,0.0187018701870187,12.8,0.0,0.3214363438520131
C770,Secondary and unspecified malignant neoplasm: Intrathoracic lymph nodes,295.0,6.0,1.0,287.0,1.0,0,2.0,293.0,0.006779661016949152,41.1,0.0,0.0
C771,Secondary and unspecified malignant neoplasm: Intra-abdominal lymph nodes,208.0,1.0,0.0,202.0,5.0,0,5.0,203.0,0.02403846153846154,207.0,0.0,0.0
C772,Secondary and unspecified malignant neoplasm: Axillary and upper limb lymph nodes,157.0,12.0,1.0,140.0,4.0,0,5.0,152.0,0.03184713375796178,11.1,0.0,0.0
C773,Secondary and unspecified malignant neoplasm: Inguinal and lower limb lymph nodes,75.0,2.0,0.0,71.0,2.0,0,2.0,73.0,0.02666666666666667,36.5,0.0,0.0
C774,Secondary and unspecified malignant neoplasm: Intrapelvic lymph nodes,160.0,1.0,0.0,159.0,0.0,0,0.0,160.0,0.0,159.0,0.0,0.0
C775,Secondary and unspecified malignant neoplasm: Lymph nodes of multiple regions,35.0,1.0,0.0,34.0,0.0,0,0.0,35.0,0.0,34.0,0.0,0.0
C778,"Secondary and unspecified malignant neoplasm: Lymph node, unspecified",282.0,61.0,1.0,191.0,29.0,0,30.0,252.0,0.10638297872340426,3.5,0.0,0.0
C779,Secondary malignant neoplasm of lung,1442.0,426.0,34.0,856.0,126.0,0,160.0,1282.0,0.11095700416088766,2.1,0.0,0.4864526659412405
C780,Secondary malignant neoplasm of mediastinum,70.0,4.0,0.0,64.0,2.0,0,2.0,68.0,0.02857142857142857,16.5,0.0,0.0
C781,Secondary malignant neoplasm of pleura,143.0,26.0,4.0,107.0,6.0,0,10.0,133.0,0.06993006993006994,3.8,0.0,0.0
C782,Secondary malignant neoplasm of other and unspecified respiratory organs,6.0,0.0,0.0,6.0,0.0,0,0.0,6.0,0.0,0.0,0.0,0.0
C783,Secondary malignant neoplasm of small intestine,1.0,0.0,0.0,0.0,1.0,0,1.0,0.0,1.0,0.0,0.0,0.0
C784,Secondary malignant neoplasm of large intestine and rectum,720.0,176.0,40.0,303.0,201.0,0,241.0,479.0,0.3347222222222222,2.3,0.0,0.7123503808487487
C785,Secondary malignant neoplasm of retroperitoneum and peritoneum,428.0,80.0,6.0,249.0,93.0,0,99.0,329.0,0.23130841121495327,4.0,0.0,0.6853645266594124
C786,Secondary malignant neoplasm of liver and intrahepatic bile duct,1226.0,294.0,54.0,435.0,443.0,0,497.0,729.0,0.40538336052202284,2.5,0.0,0.6375136017410228
C787,Secondary malignant neoplasm of other and unspecified digestive organs,288.0,55.0,6.0,163.0,64.0,0,70.0,218.0,0.24305555555555555,3.7,0.0,0.0
C788,Secondary malignant neoplasm of kidney and renal pelvis,236.0,76.0,3.0,145.0,12.0,0,15.0,221.0,0.0635593220338983,2.0,0.0,0.0
C790,Secondary malignant neoplasm of bladder and other and unspecified urinary organs,222.0,35.0,2.0,128.0,57.0,0,59.0,163.0,0.26576576576576577,5.0,0.0,0.0
C791,Secondary malignant neoplasm of skin,219.0,24.0,0.0,187.0,8.0,0,8.0,211.0,0.0365296803652968,8.1,0.0,0.0
C792,Secondary malignant neoplasm of brain and cerebral meninges,1119.0,243.0,39.0,721.0,116.0,0,155.0,964.0,0.1385165326184093,3.0,0.0,0.5013601741022851
C793,Secondary malignant neoplasm of other and unspecified parts of nervous system,82.0,3.0,2.0,74.0,3.0,0,5.0,77.0,0.06097560975609756,15.4,0.0,0.0
C794,Secondary malignant neoplasm of bone and bone marrow,3518.0,484.0,18.0,2892.0,124.0,0,142.0,3376.0,0.04036384309266629,6.0,0.0,0.21822633297062022
C795,Secondary malignant neoplasm of ovary,78.0,19.0,2.0,51.0,6.0,0,8.0,70.0,0.10256410256410256,2.7,0.0,0.0
C796,Secondary malignant neoplasm of adrenal gland,87.0,12.0,2.0,59.0,14.0,0,16.0,71.0,0.1839080459770115,5.2,0.0,0.0
C797,Secondary malignant neoplasm of other specified sites,2322.0,317.0,11.0,997.0,997.0,0,1008.0,1314.0,0.43410852713178294,6.1,0.0,0.48142002176278564
C798,"Secondary malignant neoplasm, unspecified site",1359.0,299.0,37.0,734.0,289.0,0,326.0,1033.0,0.2398822663723326,3.0,0.0,0.5374863982589771
C799,"Malignant neoplasm, primary site unknown, so stated",5701.0,349.0,70.0,4292.0,990.0,0,1060.0,4641.0,0.18593229258024907,12.6,0.0,0.2661588683351469
C800,"Malignant neoplasm, primary site unspecified",6761.0,1764.0,166.0,3635.0,1196.0,0,1362.0,5399.0,0.20144948972045557,2.5,0.0,0.3839227421109902
C809,Nodular lymphocyte predominant Hodgkin lymphoma,744.0,60.0,7.0,535.0,142.0,0,149.0,595.0,0.20026881720430106,10.1,0.0,0.5206746463547335
C810,Nodular sclerosis (classical) Hodgkin lymphoma,1549.0,32.0,14.0,1105.0,398.0,0,412.0,1137.0,0.2659780503550678,32.7,0.0,0.4089771490750816
C811,Mixed cellularity (classical) Hodgkin lymphoma,852.0,26.0,4.0,629.0,193.0,0,197.0,655.0,0.2312206572769953,27.4,0.0,0.48182807399347116
C812,Lymphocyte-rich (classical) Hodgkin lymphoma,126.0,3.0,1.0,102.0,20.0,0,21.0,105.0,0.16666666666666666,30.5,0.0,0.0
C814,Other (classical) Hodgkin lymphoma,1795.0,154.0,12.0,1276.0,353.0,0,365.0,1430.0,0.20334261838440112,9.8,0.0,0.39058759521218717
C817,"Hodgkin lymphoma, unspecified",2706.0,315.0,22.0,1894.0,475.0,0,497.0,2209.0,0.18366592756836658,7.0,0.0,0.35337323177366703
C819,Follicular lymphoma grade I,838.0,46.0,11.0,593.0,188.0,0,199.0,639.0,0.23747016706443913,13.7,0.0,0.5057399347116431
C820,Follicular lymphoma grade II,2210.0,78.0,16.0,1813.0,303.0,0,319.0,1891.0,0.14434389140271492,22.5,0.0,0.2969532100108814
C821,"Follicular lymphoma grade III, unspecified",180.0,9.0,0.0,130.0,41.0,0,41.0,139.0,0.22777777777777777,19.0,0.0,0.0
C822,Follicular lymphoma grade IIIa,416.0,13.0,1.0,303.0,99.0,0,100.0,316.0,0.2403846153846154,28.7,0.0,0.6008433079434168
C823,Follicular lymphoma grade IIIb,134.0,5.0,3.0,92.0,34.0,0,37.0,97.0,0.27611940298507465,15.8,0.0,0.0
C824,Diffuse follicle centre lymphoma,9.0,0.0,0.0,9.0,0.0,0,0.0,9.0,0.0,0.0,0.0,0.0
C825,Cutaneous follicle centre lymphoma,151.0,20.0,1.0,119.0,11.0,0,12.0,139.0,0.07947019867549669,6.2,0.0,0.0
C826,Other types of follicular lymphoma,93.0,3.0,0.0,81.0,9.0,0,9.0,84.0,0.0967741935483871,30.0,0.0,0.0
C827,"Follicular lymphoma, unspecified",4930.0,433.0,55.0,3238.0,1204.0,0,1259.0,3671.0,0.25537525354969576,9.1,0.0,0.3303318824809576
C829,Small cell B-cell lymphoma,3484.0,190.0,27.0,2453.0,814.0,0,841.0,2643.0,0.24138920780711826,15.1,0.0,0.3232589771490751
C830,Mantle cell lymphoma,2650.0,153.0,28.0,1758.0,711.0,0,739.0,1911.0,0.2788679245283019,13.6,0.0,0.37295973884657235
C831,Diffuse large B-cell lymphoma,11140.0,734.0,108.0,8131.0,2167.0,0,2275.0,8865.0,0.20421903052064633,12.2,0.0,0.24374319912948858
C833,Lymphoblastic (diffuse) lymphoma,366.0,30.0,1.0,268.0,67.0,0,68.0,298.0,0.18579234972677597,10.8,0.0,0.0
C835,Burkitt lymphoma,268.0,34.0,3.0,205.0,26.0,0,29.0,239.0,0.10820895522388059,6.2,0.0,0.0
C837,Other non-follicular lymphoma,479.0,39.0,3.0,377.0,60.0,0,63.0,416.0,0.1315240083507307,10.4,0.0,0.5457018498367792
C838,"Non-follicular (diffuse) lymphoma, unspecified",122.0,17.0,3.0,89.0,13.0,0,16.0,106.0,0.13114754098360656,5.1,0.0,0.0
C839,Mycosis fungoides,5493.0,246.0,7.0,3574.0,1666.0,0,1673.0,3820.0,0.3045694520298562,20.7,0.0,0.31705658324265507
C840,S̩zary disease,654.0,43.0,1.0,490.0,120.0,0,121.0,533.0,0.18501529051987767,13.9,0.0,0.5130576713819369
C841,"Peripheral T-cell lymphoma, not elsewhere classified",1043.0,50.0,14.0,753.0,226.0,0,240.0,803.0,0.23010546500479387,15.3,0.0,0.46082698585418935
C844,Other mature T/NK-cell lymphomas,362.0,31.0,1.0,292.0,38.0,0,39.0,323.0,0.10773480662983426,10.3,0.0,0.0
C845,"Anaplastic large cell lymphoma, ALK-positive",240.0,27.0,0.0,159.0,54.0,0,54.0,186.0,0.225,7.9,0.0,0.0
C846,"Anaplastic large cell lymphoma, ALK-negative",209.0,15.0,1.0,158.0,35.0,0,36.0,173.0,0.1722488038277512,12.1,0.0,0.0
C847,"Cutaneous T-cell lymphoma, unspecified",522.0,38.0,3.0,427.0,54.0,0,57.0,465.0,0.10919540229885058,11.7,0.0,0.5100108813928184
C848,"Mature T/NK-cell lymphoma, unspecified",18.0,2.0,0.0,15.0,1.0,0,1.0,17.0,0.05555555555555555,8.0,0.0,0.0
C849,"B-cell lymphoma, unspecified",3923.0,371.0,45.0,2689.0,818.0,0,863.0,3060.0,0.21998470558246241,8.4,0.0,0.3331066376496192
C851,Mediastinal (thymic) large B-cell lymphoma,245.0,17.0,3.0,158.0,67.0,0,70.0,175.0,0.2857142857142857,11.3,0.0,0.0
C852,Other specified types of non-Hodgkin lymphoma,483.0,63.0,26.0,208.0,186.0,0,212.0,271.0,0.4389233954451346,4.4,0.0,0.7388737758433079
C857,"Non-Hodgkin lymphoma, unspecified",4677.0,604.0,46.0,2809.0,1218.0,0,1264.0,3413.0,0.2702587128501176,6.2,0.0,0.3630576713819369
C859,"Extranodal NK/T-cell lymphoma, nasal type",350.0,15.0,0.0,304.0,31.0,0,31.0,319.0,0.08857142857142856,22.3,0.0,0.0
C860,Hepatosplenic T-cell lymphoma,3.0,0.0,0.0,3.0,0.0,0,0.0,3.0,0.0,0.0,0.0,0.0
C861,Enteropathy-type (intestinal) T-cell lymphoma,3.0,0.0,0.0,2.0,1.0,0,1.0,2.0,0.3333333333333333,0.0,0.0,0.0
C862,Subcutaneous panniculitis-like T-cell lymphoma,96.0,5.0,0.0,66.0,25.0,0,25.0,71.0,0.2604166666666667,18.2,0.0,0.0
C863,Blastic NK-cell lymphoma,150.0,13.0,3.0,115.0,19.0,0,22.0,128.0,0.14666666666666667,8.4,0.0,0.0
C864,Angioimmunoblastic T-cell lymphoma,658.0,16.0,3.0,488.0,151.0,0,154.0,504.0,0.23404255319148937,33.6,0.0,0.5198041349292709
C865,Primary cutaneous CD30-positive T-cell proliferations,239.0,22.0,2.0,154.0,61.0,0,63.0,176.0,0.26359832635983266,9.0,0.0,0.0
C866,Waldenstr̦m macroglobulinaemia,1625.0,49.0,9.0,931.0,636.0,0,645.0,980.0,0.39692307692307693,27.0,0.0,0.4558215451577802
C880,Extranodal marginal zone B-cell lymphoma of mucosa-associated lymphoid tissue [MALT-lymphoma],1402.0,95.0,14.0,947.0,346.0,0,360.0,1042.0,0.25677603423680456,11.9,0.0,0.4447769314472253
C884,Multiple myeloma,37596.0,1418.0,243.0,23619.0,12316.0,0,12559.0,25037.0,0.33405149483987656,21.6,0.0,0.26425462459194776
C900,Plasma cell leukaemia,159.0,6.0,0.0,117.0,36.0,0,36.0,123.0,0.22641509433962265,25.5,0.0,0.0
C901,Extramedullary plasmacytoma,589.0,16.0,2.0,474.0,97.0,0,99.0,490.0,0.16808149405772496,31.7,0.0,0.5045701849836779
C902,Solitary plasmacytoma,1164.0,73.0,9.0,871.0,211.0,0,220.0,944.0,0.18900343642611683,13.2,0.0,0.42668661588683354
C903,Acute lymphoblastic leukaemia [ALL],13055.0,724.0,80.0,9881.0,2370.0,0,2450.0,10605.0,0.1876675603217158,15.2,0.0,0.2174918389553863
C910,Chronic lymphocytic leukaemia of B-cell type,12895.0,503.0,123.0,8681.0,3588.0,0,3711.0,9184.0,0.2877859635517642,19.6,0.0,0.2671926006528836
C911,Prolymphocytic leukaemia of B-cell type,97.0,6.0,1.0,67.0,23.0,0,24.0,73.0,0.24742268041237114,12.9,0.0,0.0
C913,Hairy-cell leukaemia,624.0,19.0,5.0,369.0,231.0,0,236.0,388.0,0.3782051282051282,25.0,0.0,0.5991838955386289
C914,Adult T-cell lymphoma/leukaemia [HTLV-1-associated],93.0,4.0,0.0,81.0,8.0,0,8.0,85.0,0.08602150537634409,22.3,0.0,0.0
C915,Prolymphocytic leukaemia of T-cell type,103.0,1.0,1.0,94.0,7.0,0,8.0,95.0,0.07766990291262135,50.5,0.0,0.0
C916,Other lymphoid leukaemia,444.0,14.0,0.0,276.0,154.0,0,154.0,290.0,0.34684684684684686,30.7,0.0,0.6417029379760609
C917,Mature B-cell leukaemia Burkitt-type,10.0,2.0,0.0,7.0,1.0,0,1.0,9.0,0.1,4.0,0.0,0.0
C918,"Lymphoid leukaemia, unspecified",98.0,25.0,1.0,65.0,7.0,0,8.0,90.0,0.08163265306122448,2.8,0.0,0.0
C919,Acute myeloblastic leukaemia [AML],14519.0,544.0,101.0,10065.0,3809.0,0,3910.0,10609.0,0.2693022935463875,21.5,0.0,0.2499183895538629
C920,"Chronic myeloid leukaemia [CML], BCR/ABL-positive",9183.0,191.0,56.0,5860.0,3076.0,0,3132.0,6051.0,0.34106501143417184,36.2,0.0,0.29396082698585413
C921,"Atypical chronic myeloid leukaemia, BCR/ABL-negative",41.0,1.0,0.0,27.0,13.0,0,13.0,28.0,0.3170731707317073,40.0,0.0,0.0
C922,Myeloid sarcoma,175.0,4.0,3.0,116.0,52.0,0,55.0,120.0,0.3142857142857143,24.0,0.0,0.0
C923,Acute promyelocytic leukaemia [PML],1065.0,31.0,0.0,682.0,352.0,0,352.0,713.0,0.3305164319248826,33.4,0.0,0.4910228509249184
C924,Acute myelomonocytic leukaemia,486.0,11.0,4.0,318.0,153.0,0,157.0,329.0,0.3230452674897119,31.4,0.0,0.6161588683351469
C925,Acute myeloid leukaemia with 11q23-abnormality,8.0,3.0,0.0,4.0,1.0,0,1.0,7.0,0.125,1.7,0.0,0.0
C926,Other myeloid leukaemia,23.0,0.0,0.0,14.0,9.0,0,9.0,14.0,0.391304347826087,0.0,0.0,0.0
C927,Acute myeloid leukaemia with multilineage dysplasia,207.0,7.0,6.0,146.0,48.0,0,54.0,153.0,0.2608695652173913,14.9,0.0,0.0
C928,"Myeloid leukaemia, unspecified",372.0,39.0,1.0,260.0,72.0,0,73.0,299.0,0.19623655913978494,8.3,0.0,0.0
C929,Acute monoblastic/monocytic leukaemia,18.0,1.0,0.0,13.0,4.0,0,4.0,14.0,0.2222222222222222,17.0,0.0,0.0
C930,Chronic myelomonocytic leukaemia,1675.0,101.0,12.0,981.0,581.0,0,593.0,1082.0,0.35402985074626864,13.8,0.0,0.4564200217627856
C931,Juvenile myelomonocytic leukaemia,61.0,13.0,1.0,40.0,7.0,0,8.0,53.0,0.13114754098360656,3.4,0.0,0.0
C933,"Monocytic leukaemia, unspecified",39.0,1.0,0.0,38.0,0.0,0,0.0,39.0,0.0,38.0,0.0,0.0
C939,Acute erythroid leukaemia,9.0,0.0,0.0,4.0,5.0,0,5.0,4.0,0.5555555555555556,0.0,0.0,0.0
C940,Acute megakaryoblastic leukaemia,24.0,1.0,0.0,22.0,1.0,0,1.0,23.0,0.041666666666666664,23.0,0.0,0.0
C942,Mast cell leukaemia,13.0,0.0,0.0,10.0,3.0,0,3.0,10.0,0.23076923076923078,0.0,0.0,0.0
C943,Acute panmyelosis with myelofibrosis,125.0,0.0,5.0,103.0,17.0,0,22.0,103.0,0.176,24.0,0.0,0.0
C944,"Myelodysplastic and myeloproliferative disease, not elsewhere classified",1340.0,28.0,23.0,994.0,295.0,0,318.0,1022.0,0.2373134328358209,25.3,0.0,0.4171653971708379
C946,Other specified leukaemias,33.0,1.0,2.0,19.0,11.0,0,13.0,20.0,0.3939393939393939,10.0,0.0,0.0
C947,Acute leukaemia of unspecified cell type,442.0,31.0,4.0,273.0,134.0,0,138.0,304.0,0.31221719457013575,11.6,0.0,0.6556311207834603
C950,Chronic leukaemia of unspecified cell type,15.0,1.0,0.0,9.0,5.0,0,5.0,10.0,0.3333333333333333,14.0,0.0,0.0
C951,"Leukaemia, unspecified",1703.0,54.0,11.0,1216.0,422.0,0,433.0,1270.0,0.2542571931884909,25.2,0.0,0.3927366702937976
C959,Multifocal and multisystemic (disseminated) Langerhans-cell histiocytosis [Letterer-Siwe disease],61.0,8.0,0.0,52.0,1.0,0,1.0,60.0,0.01639344262295082,6.6,0.0,0.0
C960,Malignant mast cell tumour,165.0,6.0,1.0,117.0,41.0,0,42.0,123.0,0.2545454545454545,22.6,0.0,0.0
C962,Sarcoma of dendritic cells (accessory cells),12.0,0.0,0.0,10.0,2.0,0,2.0,10.0,0.16666666666666666,0.0,0.0,0.0
C964,Multifocal and unisystemic Langerhans-cell histiocytosis,12.0,2.0,0.0,9.0,1.0,0,1.0,11.0,0.08333333333333333,5.0,0.0,0.0
C965,Unifocal Langerhans-cell histiocytosis,1003.0,98.0,14.0,692.0,199.0,0,213.0,790.0,0.2123629112662014,8.0,0.0,0.49132208922742115
C966,"Other specified malignant neoplasms of lymphoid, haematopoietic and related tissue",21.0,2.0,3.0,6.0,10.0,0,13.0,8.0,0.6190476190476191,3.2,0.0,0.0
C967,Histiocytic sarcoma,4.0,2.0,0.0,1.0,1.0,0,1.0,3.0,0.25,1.0,0.0,0.0
C968,"Malignant neoplasm of lymphoid, haematopoietic and related tissue, unspecified",29.0,3.0,1.0,19.0,6.0,0,7.0,22.0,0.2413793103448276,6.3,0.0,0.0
C969,Malignant neoplasms of independent (primary) multiple sites,294.0,70.0,0.0,223.0,1.0,0,1.0,293.0,0.003401360544217687,3.2,0.0,0.0
C97X,"Carcinoma in situ: Lip, oral cavity and pharynx",120.0,20.0,1.0,96.0,3.0,0,4.0,116.0,0.03333333333333333,4.7,0.0,0.0
D000,Carcinoma in situ: Oesophagus,65.0,20.0,4.0,25.0,16.0,0,20.0,45.0,0.3076923076923077,1.7,0.0,0.0
D001,Carcinoma in situ: Stomach,2.0,1.0,0.0,1.0,0.0,0,0.0,2.0,0.0,1.0,0.0,0.0
D002,Carcinoma in situ: Colon,30.0,7.0,1.0,9.0,13.0,0,14.0,16.0,0.4666666666666667,2.8,0.0,0.0
D010,Carcinoma in situ: Rectum,4.0,2.0,0.0,2.0,0.0,0,0.0,4.0,0.0,1.0,0.0,0.0
D012,Carcinoma in situ: Anus and anal canal,161.0,39.0,13.0,84.0,25.0,0,38.0,123.0,0.2360248447204969,2.1,0.0,0.0
D013,Carcinoma in situ: Other and unspecified parts of intestine,2.0,1.0,0.0,1.0,0.0,0,0.0,2.0,0.0,1.0,0.0,0.0
D014,"Carcinoma in situ: Liver, gallbladder and bile ducts",19.0,3.0,2.0,7.0,7.0,0,9.0,10.0,0.47368421052631576,2.8,0.0,0.0
D015,Carcinoma in situ: Other specified digestive organs,11.0,5.0,2.0,2.0,2.0,0,4.0,7.0,0.36363636363636365,0.6,0.0,0.0
D017,Carcinoma in situ: Larynx,133.0,19.0,2.0,104.0,8.0,0,10.0,123.0,0.07518796992481203,5.3,0.0,0.0
D020,Carcinoma in situ: Trachea,3.0,0.0,0.0,3.0,0.0,0,0.0,3.0,0.0,0.0,0.0,0.0
