Primary Diagnosis Code,Primary Diagnosis Code Description,all_attendances,first_appointment,first_tele,subsequent_appointment,subsequent_tele,unknown_attendance_type,total_tele,total_in_person,tele_adoption_rate,followup_ratio,unknown_rate,priority_score
A162,"Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation",197.0,27.0,0.0,163.0,7.0,0,7.0,190.0,0.03553299492385787,6.3,0.0,0.0
A163,"Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation",10.0,3.0,0.0,7.0,0.0,0,0.0,10.0,0.0,2.3,0.0,0.0
A164,"Tuberculous pleurisy, without mention of bacteriological or histological confirmation",80.0,24.0,0.0,54.0,2.0,0,2.0,78.0,0.025,2.3,0.0,0.0
A165,Primary respiratory tuberculosis without mention of bacteriological or histological confirmation,2.0,1.0,0.0,1.0,0.0,0,0.0,2.0,0.0,1.0,0.0,0.0
A167,"Other respiratory tuberculosis, without mention of bacteriological or histological confirmation",6.0,0.0,0.0,6.0,0.0,0,0.0,6.0,0.0,0.0,0.0,0.0
A168,"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation",4222.0,909.0,17.0,2732.0,564.0,0,581.0,3641.0,0.1376125059213643,3.6,0.0,0.33343307943416756
A169,Tuberculous meningitis,45.0,8.0,1.0,31.0,5.0,0,6.0,39.0,0.13333333333333333,4.0,0.0,0.0
A170,Meningeal tuberculoma,4.0,1.0,0.0,3.0,0.0,0,0.0,4.0,0.0,3.0,0.0,0.0
A171,Other tuberculosis of nervous system,53.0,8.0,0.0,42.0,3.0,0,3.0,50.0,0.05660377358490566,5.6,0.0,0.0
A178,Tuberculosis of bones and joints,111.0,23.0,0.0,87.0,1.0,0,1.0,110.0,0.009009009009009009,3.8,0.0,0.0
A180,Tuberculosis of genitourinary system,34.0,3.0,0.0,27.0,4.0,0,4.0,30.0,0.11764705882352941,10.3,0.0,0.0
A181,Tuberculous peripheral lymphadenopathy,312.0,72.0,4.0,210.0,26.0,0,30.0,282.0,0.09615384615384616,3.1,0.0,0.0
A182,"Tuberculosis of intestines, peritoneum and mesenteric glands",78.0,13.0,0.0,63.0,2.0,0,2.0,76.0,0.02564102564102564,5.0,0.0,0.0
A183,Tuberculosis of skin and subcutaneous tissue,23.0,1.0,0.0,22.0,0.0,0,0.0,23.0,0.0,22.0,0.0,0.0
A184,Tuberculosis of eye,344.0,46.0,2.0,286.0,10.0,0,12.0,332.0,0.03488372093023256,6.2,0.0,0.0
A185,Tuberculosis of other specified organs,22.0,4.0,0.0,9.0,9.0,0,9.0,13.0,0.4090909090909091,4.5,0.0,0.0
A188,"Acute miliary tuberculosis, unspecified",2.0,0.0,0.0,1.0,1.0,0,1.0,1.0,0.5,0.0,0.0,0.0
A192,"Miliary tuberculosis, unspecified",88.0,14.0,1.0,63.0,10.0,0,11.0,77.0,0.125,4.9,0.0,0.0
A199,Other forms of tularaemia,3.0,0.0,0.0,3.0,0.0,0,0.0,3.0,0.0,0.0,0.0,0.0
A218,"Tularaemia, unspecified",1.0,0.0,0.0,1.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0
A219,Gastrointestinal anthrax,1.0,0.0,0.0,0.0,1.0,0,1.0,0.0,1.0,0.0,0.0,0.0
A222,Brucellosis due to Brucella canis,6.0,3.0,1.0,0.0,2.0,0,3.0,3.0,0.5,0.5,0.0,0.0
A233,"Brucellosis, unspecified",14.0,3.0,0.0,9.0,2.0,0,2.0,12.0,0.14285714285714285,3.7,0.0,0.0
A239,"Melioidosis, unspecified",1.0,0.0,0.0,1.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0
A244,Streptobacillosis,1.0,0.0,0.0,1.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0
A251,"Leptospirosis, unspecified",7.0,6.0,1.0,0.0,0.0,0,1.0,6.0,0.14285714285714285,0.0,0.0,0.0
A279,Cat-scratch disease,9.0,3.0,1.0,4.0,1.0,0,2.0,7.0,0.2222222222222222,1.3,0.0,0.0
A281,Extraintestinal yersiniosis,1.0,0.0,0.0,0.0,1.0,0,1.0,0.0,1.0,0.0,0.0,0.0
A282,Lepromatous leprosy,1.0,0.0,0.0,1.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0
A305,"Leprosy, unspecified",4.0,1.0,0.0,3.0,0.0,0,0.0,4.0,0.0,3.0,0.0,0.0
A309,Pulmonary mycobacterial infection,892.0,134.0,13.0,549.0,196.0,0,209.0,683.0,0.23430493273542602,5.1,0.0,0.5488030467899891
A310,Cutaneous mycobacterial infection,92.0,17.0,0.0,48.0,27.0,0,27.0,65.0,0.29347826086956524,4.4,0.0,0.0
A311,Other mycobacterial infections,117.0,26.0,2.0,61.0,28.0,0,30.0,87.0,0.2564102564102564,3.2,0.0,0.0
A318,"Mycobacterial infection, unspecified",185.0,56.0,2.0,103.0,24.0,0,26.0,159.0,0.14054054054054055,2.2,0.0,0.0
A319,"Listeriosis, unspecified",1.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0
A329,Other tetanus,1.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0
A35X,Pharyngeal diphtheria,1.0,0.0,0.0,0.0,1.0,0,1.0,0.0,1.0,0.0,0.0,0.0
A360,Whooping cough due to Bordetella pertussis,4.0,4.0,0.0,0.0,0.0,0,0.0,4.0,0.0,0.0,0.0,0.0
A370,Whooping cough due to other Bordetella species,1.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0
